area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Laxmichhari,4 BHK,LedorSa,2100 - 2850,4,0,124
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1075,2,1,23.33333333
Super built-up  Area,Ready To Move,Alikadam,3 BHK,Mahosya,1760,2,2,82
Super built-up  Area,Ready To Move,Anwara,3 BHK,GrrvaGr,1693,3,3,38.26
Built-up  Area,Ready To Move,Haluaghat,3 BHK,Kantsce,1925,3,,83.33333333
Super built-up  Area,21-Dec,Agailjhara,2 BHK,PrarePa,700,2,1,24
Super built-up  Area,Ready To Move,Bagatipara,2 BHK,,1070,2,1,30.33333333
Super built-up  Area,Ready To Move,Bheramara,3 BHK,Dieldli,1724,3,2,83.33333333
Super built-up  Area,Ready To Move,Cumilla Sadar(South),3 BHK,,1290,2,2,37.41333333
Built-up  Area,Ready To Move,Alfadanga,2 BHK,,1143,2,2,30
Built-up  Area,Ready To Move,Joypurhat Sadar,2 BHK,Gentson,1296,2,,54
Super built-up  Area,19-Dec,Adarsha Sadar,3 BHK,Soini T,1254,3,2,25.33333333
Super built-up  Area,Ready To Move,Laxmipur Sadar,1 BHK,Ceove G,600,1,0,25.33333333
Plot  Area,Ready To Move,Laxmichhari,1 Bedroom,,660,1,0,32
Super built-up  Area,19-Sep,Agailjhara,2 BHK,Soazak ,1330.74,2,2,61.19333333
Plot  Area,Ready To Move,Belabo,8 Bedroom,,600,9,,133.3333333
Super built-up  Area,Ready To Move,Dacope,2 BHK,LancyRe,970,2,0,22
Super built-up  Area,20-Sep,Abhaynagar,2 BHK,Goted U,1459,2,1,63.21333333
Plot  Area,Ready To Move,Badalgachi,2 Bedroom,,800,1,1,86.66666667
Built-up  Area,Ready To Move,Lohagara,2 BHK,,869,2,1,24
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,33.33333333
Super built-up  Area,18-Mar,Bhanga,3 BHK,Rosha I,1670,3,1,66
Built-up  Area,Ready To Move,Abhaynagar,3 BHK,Suent V,2010,3,2,60.66666667
Super built-up  Area,Ready To Move,Chatkhil,2 BHK,RothaVa,1185,2,2,50
Super built-up  Area,Ready To Move,Laxmichhari,3 BHK,NCowsar,1600,2,3,50
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1200,2,2,29.33333333
Built-up  Area,20-Feb,Bhuapur,4 Bedroom,BrereAt,3010 - 3410,,,128
Super built-up  Area,Ready To Move,Lalmai,2 BHK,PeBayle,1500,2,2,123.3333333
Plot  Area,Ready To Move,Joypurhat Sadar,6 Bedroom,,1407,4,1,100
Super built-up  Area,Ready To Move,Madan,2 BHK,,840,2,2,30
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3,2,160
Super built-up  Area,Ready To Move,Laxmipur Sadar,2 BHK,Laavevi,845,2,1,36.66666667
Plot  Area,Ready To Move,Abhaynagar,4 Bedroom,Chranya,5700,5,3,433.3333333
Built-up  Area,Ready To Move,Baniachong,2 BHK,HioraTr,1160,2,2,29.33333333
Built-up  Area,Ready To Move,Chitalmari,8 Bedroom,,3000,8,0,93.33333333
Super built-up  Area,Ready To Move,Dacope,2 BHK,,1100,2,1,41.33333333
Super built-up  Area,18-Apr,Fatikchari,2 BHK,BMineis,1140,2,3,28.66666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,,1220,2,1,38
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7,0,56.66666667
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,,1005,2,1,24.45333333
Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3,2,66.66666667
Super built-up  Area,20-Aug,Baghaichari,2 BHK,Pruthg ,1358,2,1,53.72
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,Sonosty,1569,3,1,67.33333333
Super built-up  Area,18-Apr,Atpara,2 BHK,SNnia E,1240,2,1,46.66666667
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,Anavi B,2089,3,2,93.33333333
Super built-up  Area,Ready To Move,Dhunat,2 BHK,,1206,2,1,32.15333333
Super built-up  Area,Ready To Move,Chunarughat,2 BHK,,1150,2,3,26.66666667
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,136.6666667
Built-up  Area,Ready To Move,Fulchari,2 BHK,,460,1,0,14.66666667
Built-up  Area,Ready To Move,Kachua,6 Bedroom,,4400,6,3,166.6666667
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,70
Built-up  Area,18-Oct,Ashasuni,4 Bedroom,Gollela,2957 - 3450,,,149.6666667
Super built-up  Area,19-Mar,Laxmichhari,2 BHK,Niareum,1326,2,2,52
Super built-up  Area,Ready To Move,Godagari,3 BHK,,1325,2,2,40.53333333
Super built-up  Area,Ready To Move,Faridganj,3 BHK,SJlynro,1499,5,2,68
Built-up  Area,Ready To Move,Bhandaria,6 Bedroom,,3000,7,2,140
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,,1665,3,2,58.66666667
Super built-up  Area,17-Sep,Homna,2 BHK,Tavenew,708,2,2,24.66666667
Super built-up  Area,Ready To Move,Bahubal,2 BHK,Srire S,1060,2,2,38.70666667
Plot  Area,Ready To Move,Atwari,6 Bedroom,,710,6,3,106.6666667
Built-up  Area,Ready To Move,Gaibandha Sadar,2 BHK,Saenti ,1000,2,2,46.66666667
Super built-up  Area,18-Dec,Aditmari,2 BHK,,1000,2,1,19.25333333
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2,2,46.66666667
Plot  Area,Ready To Move,Kachua,4 Bedroom,,1200,4,2,103.3333333
Super built-up  Area,17-Aug,Ajmiriganj,2 BHK,Bhmesy ,1296,2,3,53.33333333
Super built-up  Area,Ready To Move,Fulgazi,3 BHK,,1540,3,2,60
Plot  Area,Ready To Move,Balaganj,4 Bedroom,Goardth,2894,4,1,163.3333333
Super built-up  Area,Ready To Move,Haimchar,3 BHK,,1330,2,1,32
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2,1,43.33333333
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3,1,60
Super built-up  Area,Ready To Move,Bagha,3 BHK,IBityin,2502,3,3,92
Built-up  Area,Ready To Move,Austagram,2 BHK,KHityry,650,1,1,11.33333333
Plot  Area,Ready To Move,Banshkhali,3 Bedroom,BDensar,2400,2,1,100
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2,2,28.66666667
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,33.33333333
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2,2,33.26666667
Built-up  Area,Ready To Move,Baralekha,3 BHK,,1630,2,1,65.33333333
Built-up  Area,Ready To Move,Atwari,3 BHK,Brway G,1640,3,2,152.6666667
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2,2,37.12
Super built-up  Area,19-Apr,Bhuapur,2 BHK,Oznuean,1260,2,2,44.52
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3,3,80
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,2,50
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Sonviik,1116,2,1,34.60666667
Super built-up  Area,Ready To Move,Aditmari,3 BHK,DSgmax ,1530,2,1,30.6
Built-up  Area,Ready To Move,Baliakandi,4 Bedroom,,3700,4,1,150
Built-up  Area,Ready To Move,Adarsha Sadar,3 Bedroom,Cetattu,2497,3,2,93.33333333
Super built-up  Area,Ready To Move,Balaganj,3 BHK,Vaens G,1540,2,3,42.66666667
Super built-up  Area,18-Dec,Ajmiriganj,3 BHK,,1436,3,1,49.83333333
Super built-up  Area,18-Jun,Barkal,2 BHK,,1100,2,2,50
Plot  Area,Ready To Move,Ashasuni,2 Bedroom,,276,3,3,15.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Moity S,1427,3,2,80
Super built-up  Area,Ready To Move,Barguna Sadar,3 BHK,HiahsLa,2061,3,1,133.3333333
Super built-up  Area,18-Mar,Alikadam,4 BHK,SNontle,3067 - 8156,4,0,318
Built-up  Area,Ready To Move,Mirsharai,4 BHK,,2650,4,2,100
Super built-up  Area,22-Dec,Bhuapur,3 BHK,Sabixtt,1282,2,2,45.68
Built-up  Area,Ready To Move,Bochaganj,2 BHK,,1050,2,1,22.66666667
Built-up  Area,Ready To Move,Kishoreganj,3 BHK,Sragei ,1600,3,2,43.33333333
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2,1,36
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,SyidaCr,1500,2,1,52
Plot  Area,Ready To Move,Keraniganj,7 Bedroom,,950,7,0,76.66666667
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3,3,73.33333333
Plot  Area,Ready To Move,Bagher Para,3 Bedroom,Inensba,1600,3,1,50
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Itelaa ,880,1,1,11
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4,0,140
Super built-up  Area,Ready To Move,Chandpur Sadar,3 BHK,Srier P,1535,3,2,55.33333333
Built-up  Area,Ready To Move,Agailjhara,2 BHK,Wiowsri,950,2,1,38
Super built-up  Area,18-Aug,Bhuapur,2 BHK,Derdsig,1360,2,1,43.33333333
Super built-up  Area,19-Mar,Barura,2 BHK,Vaarech,1042 - 1105,2,0,36.00333333
Super built-up  Area,18-May,Dhanbari,3 BHK,,1280,3,1,33.6
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2,2,56.7
Built-up  Area,Ready To Move,Ashasuni,8 Bedroom,,5000,8,,166.6666667
Super built-up  Area,19-Dec,Laxmichhari,5 BHK,LedorSa,3050,5,1,142
Super built-up  Area,Ready To Move,Bahubal,3 BHK,HMwerCo,1563.05,3,1,70
Super built-up  Area,Ready To Move,Kachua,2 BHK,,1000,2,1,40
Super built-up  Area,17-Jul,Delduar,2 BHK,ViensRK,1167,2,1,29.17333333
Super built-up  Area,Ready To Move,Kalkini,7 BHK,,4000,7,2,150
Super built-up  Area,Ready To Move,Banshkhali,3 BHK,Somumys,1828,3,,73.33333333
Super built-up  Area,Ready To Move,Chagalnaiya,2 BHK,HoiewLa,890,2,1,23.33333333
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3,3,31.16
Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5,,123.3333333
Super built-up  Area,19-Apr,Bhairab,3 BHK,Brama P,1710,4,2,60.87333333
Super built-up  Area,Ready To Move,Gobindaganj,2 BHK,VBownre,957,2,1,38.66666667
Super built-up  Area,18-May,Porsha,3 BHK,,1250,2,3,29.33333333
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4,,156.6666667
Super built-up  Area,Ready To Move,Belaichhari,2 BHK,Prcan P,1125,2,2,33.33333333
Super built-up  Area,18-Jul,Atrai,2 BHK,Sryalan,1020,2,1,20.4
Super built-up  Area,Ready To Move,Chunarughat,2 BHK,,1200,2,2,33.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Soitya ,1735,3,3,90
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,G conTh,2050,3,1,96.66666667
Plot  Area,Ready To Move,Kalaroa,4 Bedroom,,3750,4,0,506.6666667
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2,3,32
Super built-up  Area,18-May,Banaripara,2 BHK,SStusan,1063,2,1,21.33333333
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,1,100
Built-up  Area,Ready To Move,Abhaynagar,4 Bedroom,,4200,4,2,280
Super built-up  Area,Ready To Move,Rmv Extension,3 BHK,Hohnari,2000,3,1,116.6666667
Super built-up  Area,18-Dec,Bagher Para,2 BHK,Kinuerg,1145 - 1340,2,0,28.99333333
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2,2,50
Super built-up  Area,Ready To Move,Aditmari,3 BHK,GMown E,1500,2,1,43
Built-up  Area,Ready To Move,Aditmari,2 BHK,GMown E,1060,2,1,40
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2,2,46.66666667
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6,0,66
Super built-up  Area,Ready To Move,Bogura Sadar,1 BHK,Jae 1hu,450,1,1,7.333333333
Super built-up  Area,18-Apr,Aditmari,2 BHK,Prarkun,1152,2,1,43
Super built-up  Area,Ready To Move,Aditmari,3 BHK,GMown E,1350,2,1,37.33333333
Super built-up  Area,Ready To Move,Birganj,3 BHK,Srshq T,1550,3,3,43.33333333
Plot  Area,Ready To Move,Chikkatirupathi,3 Bedroom,,1500,3,2,66.66666667
Plot  Area,Ready To Move,Damudya,5 Bedroom,,600,3,2,56.66666667
Plot  Area,Ready To Move,Gurudaspur,1 Bedroom,,400,1,0,9.333333333
Super built-up  Area,Ready To Move,Barkal,1 BHK,Utntspa,705,1,2,44.66666667
Built-up  Area,Ready To Move,Aditmari,2 BHK,GMown E,770,1,1,24
Super built-up  Area,Ready To Move,Belaichhari,2 BHK,Aniona ,1242,2,3,34
Super built-up  Area,Ready To Move,Chouddagram,3 BHK,Goateds,1700,3,2,103.3333333
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Soitya ,2144,3,2,96.66666667
Super built-up  Area,21-Jun,Boda,3 BHK,Saahaat,1704,3,2,73.33333333
Super built-up  Area,Ready To Move,Aditmari,2 BHK,GMown E,1070,2,1,34.66666667
Plot  Area,Ready To Move,8Th Block Koramangala,3 Bedroom,,1846,3,2,200
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2,2,37.13333333
Built-up  Area,Ready To Move,Aditmari,2 BHK,GMown E,1025,2,1,30.66666667
Super built-up  Area,Ready To Move,Badalgachi,2 BHK,MCvarar,1015 - 1540,2,0,37.86666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,VRave E,1200,2,2,34.66666667
Built-up  Area,18-Dec,Agailjhara,4 Bedroom,,2250,4,1,73.33333333
Super built-up  Area,Ready To Move,Kulaura,3 BHK,MaidoPl,1550,2,3,53.33333333
Plot  Area,Ready To Move,Babuganj,4 Bedroom,,1200,5,,216.6666667
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7,1,166.6666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,Aiitya ,1200,2,2,40
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,PuziaVe,1327,2,2,65.33333333
Super built-up  Area,Ready To Move,Banshkhali,2 BHK,,1186,2,2,38.66666667
Built-up  Area,Ready To Move,Ms Pallya,3 Bedroom,,1783,3,1,76.66666667
Super built-up  Area,Ready To Move,Belabo,3 BHK,NRosete,1400,3,2,37.33333333
Super built-up  Area,Ready To Move,Khaliajuri,2 BHK,,980,2,1,32
Super built-up  Area,Ready To Move,Faridganj,2 BHK,,1285,2,2,54.66666667
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2,1,46.66666667
Built-up  Area,Ready To Move,Abhaynagar,2 BHK,Sancya ,1225,2,2,31.73333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,,1075,2,1,35.33333333
Built-up  Area,Ready To Move,Bochaganj,3 BHK,MSingco,1260,2,2,36
Super built-up  Area,Ready To Move,Laxmichhari,3 BHK,Pyikad ,1282,2,2,32.46666667
Super built-up  Area,Ready To Move,Dinajpur Sadar,3 BHK,CaIRSCr,1909,3,2,58.66666667
Super built-up  Area,Ready To Move,Bera,2 BHK,Prcesvy,1359,2,1,58
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2,2,29
Plot  Area,Ready To Move,Debidwar,4 Bedroom,,1736,6,0,126.6666667
Super built-up  Area,20-May,Jamalpur Sadar,4 BHK,,2850,4,1,285.3333333
Super built-up  Area,Ready To Move,Dashmina,3 BHK,Emstael,1595,3,2,43.33333333
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3,2,59.33333333
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,SNdri N,1475,3,2,52.19333333
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3,3,66.66666667
Super built-up  Area,Ready To Move,Habiganj Sadar,2 BHK,Syonyph,1295,2,1,43.33333333
Built-up  Area,Ready To Move,Digholia,6 Bedroom,,3600,6,0,94
Super built-up  Area,Ready To Move,Aditmari,1 BHK,Itvir M,589,1,1,18
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3,3,52
Super built-up  Area,18-Dec,Adarsha Sadar,3 BHK,Klark L,1787,3,2,65.52666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Klark L,1787,3,2,83.33333333
Super built-up  Area,Ready To Move,Bamna,3 BHK,Piityra,1475,2,3,60
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4,1,50.33333333
Super built-up  Area,19-Mar,Adarsha Sadar,2 BHK,AsastDe,984,2,1,29.52
Super built-up  Area,19-Dec,Bhuapur,3 BHK,Jurdsig,1520 - 1740,,,49.88
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4,2,173.3333333
Built-up  Area,Ready To Move,Ashuganj,2 BHK,Brnia G,1080,2,2,48
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2,1,76.66666667
Super built-up  Area,Ready To Move,Alikadam,3 BHK,,1900,3,2,79.33333333
Super built-up  Area,19-Aug,Kamalganj,2 BHK,,805,2,1,14.76
Super built-up  Area,Ready To Move,Beanibazar,2 BHK,PrityTr,1153,2,2,37.6
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2,2,40
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,36.66666667
Built-up  Area,Ready To Move,Aditmari,2 BHK,Saave R,1100,2,2,28
Super built-up  Area,Ready To Move,Gangni,2 BHK,Anave S,1290,2,2,73.33333333
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2,1,43.33333333
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2,2,26
Super built-up  Area,21-Jun,Boda,3 BHK,Saityat,1933,3,1,86
Built-up  Area,Ready To Move,Baliakandi,5 Bedroom,,3500,5,2,100
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2,2,40
Super built-up  Area,18-Aug,Austagram,1 BHK,SunceEs,645,1,1,10.96666667
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8,2,120
Super built-up  Area,18-Sep,Austagram,1 BHK,SunceEs,645,1,1,10.96666667
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3,3,56
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2,3,48.33333333
Plot  Area,Ready To Move,Aditmari,3 Bedroom,,1200,3,1,60
Super built-up  Area,Ready To Move,Aditmari,2 BHK,CoapeSo,910,2,1,26.66666667
Super built-up  Area,Ready To Move,Banshkhali,3 BHK,Bisic C,1577,3,1,46.66666667
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3,2,186.6666667
Super built-up  Area,Ready To Move,Gazipur Sadar,3 BHK,Inntsa ,2420,3,2,123.3333333
Super built-up  Area,Ready To Move,Austagram,2 BHK,KHityry,800,1,1,13.33333333
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2,2,36.66666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,BriumMi,1270,2,2,62
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2,2,15
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,1280,2,1,46
Plot  Area,Ready To Move,Boalkhali,4 Bedroom,,1200,2,0,63.33333333
Built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,,1025,2,2,24
Super built-up  Area,17-Jun,Aditmari,2 BHK,Prarkun,1108,2,1,42
Plot  Area,Ready To Move,Mcechs  Layout,5 Bedroom,,1200,5,,113.3333333
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3,2,113.3333333
Plot  Area,Ready To Move,Ukhia,4 Bedroom,Thessrm,2900,3,2,200
Super built-up  Area,Ready To Move,Boda,3 BHK,JJortom,1500,3,2,50.33333333
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1295,2,2,29.26666667
Super built-up  Area,Ready To Move,Beanibazar,2 BHK,PrityTr,1162,2,1,39.93333333
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,Usquaya,1035,2,2,32.8
Built-up  Area,Ready To Move,Bogura Sadar,4 Bedroom,Natic T,1600,4,0,35.2
Super built-up  Area,Ready To Move,Kudlu Main Road,3 BHK,,1464,3,2,30.66666667
Super built-up  Area,18-Oct,Ashasuni,3 BHK,DSapeSk,1866,2,2,41.05333333
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1,1,17.33333333
Super built-up  Area,Ready To Move,Chunarughat,3 BHK,Prillot,1804,3,2,80
Super built-up  Area,Ready To Move,Bagher Para,2 BHK,,913,2,1,21.33333333
Super built-up  Area,21-Dec,Burichang,3 BHK,Sodgere,1868,3,2,87.33333333
Built-up  Area,Ready To Move,Chagalnaiya,2 BHK,,883,2,1,30
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,,900,2,1,73.33333333
Super built-up  Area,Ready To Move,Dinajpur Sadar,3 BHK,,1664,2,3,49.3
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,SoitaCa,2026,3,2,88
Super built-up  Area,Ready To Move,Bhurungamari,2 BHK,Soestin,1210,2,1,53.93333333
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4,2,166.6666667
Super built-up  Area,Ready To Move,Bochaganj,3 BHK,Alestrb,1762,3,3,60.96666667
Super built-up  Area,Ready To Move,Begumganj,3 BHK,DLhtsen,1252,3,3,36.66666667
Built-up  Area,Ready To Move,Kaliganj,2 BHK,Mauner ,861,2,1,23
Built-up  Area,Ready To Move,Ashuganj,3 BHK,Brnia G,1420,2,1,66.66666667
Plot  Area,Ready To Move,Srirampura,6 Bedroom,,1450,6,0,166.6666667
Built-up  Area,Ready To Move,Bagatipara,3 BHK,GaicaVe,1490,3,1,52.53333333
Super built-up  Area,Ready To Move,Betagi,3 BHK,,1075,2,1,30.66666667
Super built-up  Area,18-Aug,Bandar,3 BHK,Saesttt,1425,2,2,62.66666667
Built-up  Area,Ready To Move,Chunarughat,2 BHK,Nae 2El,1200,2,1,26.66666667
Super built-up  Area,Ready To Move,Baraigram,3 BHK,,1280,2,2,37.33333333
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2,2,33.33333333
Super built-up  Area,18-Jul,Austagram,2 BHK,SunceEs,1015,2,2,17.25333333
Super built-up  Area,21-May,Agailjhara,2 BHK,GolusLi,1017,2,1,34.16666667
Super built-up  Area,Ready To Move,Atpara,2 BHK,,1027,2,2,29.33333333
Super built-up  Area,Ready To Move,Atrai,2 BHK,Coush W,1069,2,2,30
Super built-up  Area,Ready To Move,Alikadam,2 BHK,Prersis,1349,2,1,65.46666667
Super built-up  Area,Ready To Move,Biswanath,2 BHK,NaensGa,1005,2,1,33.33333333
Super built-up  Area,Ready To Move,Bandarban Sadar,2 BHK,Arzzo P,1417,2,3,50
Plot  Area,18-Jan,Barishal Sadar,3 Bedroom,,1475,3,1,65.33333333
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,2,31.33333333
Super built-up  Area,Ready To Move,Rmv 2Nd Stage,4 BHK,Prave E,2000,4,0,80
Plot  Area,Ready To Move,Jhalakathi Sadar,3 Bedroom,,880,3,1,93.33333333
Super built-up  Area,Ready To Move,Adarsha Sadar,4 BHK,Ahriaup,1863,3,2,69.33333333
Super built-up  Area,Ready To Move,Derai,2 BHK,Priewhi,1010,2,1,19.66666667
Super built-up  Area,Ready To Move,Chunarughat,3 BHK,Shodsth,1425,2,1,46.66666667
Super built-up  Area,Ready To Move,Boda,3 BHK,Swadeh ,1450,3,0,66.66666667
Super built-up  Area,Ready To Move,Banshkhali,3 BHK,Somumys,1847,3,2,70
Super built-up  Area,Ready To Move,Kathalia,2 BHK,Soran U,1100,2,3,30
Super built-up  Area,20-Dec,Agailjhara,1 BHK,PrarePa,525,1,1,17.33333333
Super built-up  Area,Ready To Move,Harinakunda,3 BHK,Puestig,1665,3,2,63.33333333
Super built-up  Area,Ready To Move,Hizla,4 BHK,Prntsrt,1664,4,3,43.33333333
Super built-up  Area,Ready To Move,Bancharampur,3 BHK,Maerar ,1850,3,3,100
Super built-up  Area,Ready To Move,Bera,2 BHK,Vaesh T,1438,2,3,66.66666667
